Thème,Difficulté question,Questions,A,B,C,D,Réponse
Océans & Mers,Expert,Quel explorateur a atteint le fond de la fosse des Mariannes en 1960 ? (Expert 4)?,Roald Amundsen,Jacques Piccard,Ernest Shackleton,Jacques-Yves Cousteau,B
Océans & Mers,Expert,Quelle proportion de la chaleur du réchauffement climatique est absorbée par l'océan ? (Expert 4)?,Environ 30%,Environ 50%,Environ 70%,Plus de 90%,D
Océans & Mers,Expert,Quel est le point géographique le plus éloigné de toute terre ? (Expert 4)?,Le Point Nemo,Les îles Kerguelen,Le Pôle Sud,Le Cap Horn,A
Océans & Mers,Expert,Quel métal se trouve souvent sous forme de 'nodules' au fond des plaines abyssales ? (Expert 4)?,Le manganèse,L'or,Le mercure,L'argent,A
Océans & Mers,Expert,Quelle mer est considérée comme la plus jeune du monde au sens géologique ? (Expert 4)?,La mer Baltique,La mer Rouge,La mer Méditerranée,La mer d'Oman,B
Océans & Mers,Expert,Quel est le nom de la couche de transition thermique rapide dans l'océan ? (Expert 4)?,La thermocline,L'isotherme,La pycnocline,L'halocline,A
Océans & Mers,Expert,Quelle espèce détient le record de la plus longue migration marine ? (Expert 4)?,La baleine grise,Le thon rouge,La sterne arctique,La tortue luth,C
Océans & Mers,Expert,Quelle mer a perdu 90% de son volume à cause de l'irrigation ? (Expert 4)?,La mer Noire,La mer d'Aral,La mer de Galilée,La mer Caspienne,B
Océans & Mers,Expert,Quel navire de Cousteau a été coulé à Singapour en 1996 ? (Expert 4)?,La Calypso,Le Bel Espoir,L'Alcyone,Le Redoutable,A
Océans & Mers,Expert,Quel est le pourcentage de l'océan qui reste inexploré ? (Expert 4)?,Environ 50%,Environ 20%,Environ 95%,Plus de 80%,D
Océans & Mers,Expert,Comment appelle-t-on le phénomène d'acidification de l'eau de mer ? (Expert 4)?,Baisse du pH,Hausse du pH,Surnatance,Eutrophisation,A
Océans & Mers,Expert,Quel archipel possède la plus grande zone économique exclusive française ? (Expert 4)?,Les Kerguelen,La Nouvelle-Calédonie,La Guadeloupe,La Polynésie française,D
Capitales du monde,Facile,Quelle est la capitale de l'Afrique du Sud?,Pretoria,Johannesburg,Durban,Cap Town,A
Capitales du monde,Facile,Quelle est la capitale du Danemark?,Aarhus,Odense,Copenhague,Aalborg,C
Capitales du monde,Facile,Quelle est la capitale de la Tanzanie?,Dodoma,Mbeya,Dar es-Salam,Arusha,A
Capitales du monde,Facile,Quelle est la capitale de la Bulgarie?,Plovdiv,Varna,Sofia,Burgas,C
Capitales du monde,Facile,Quelle est la capitale du Kenya?,Nairobi,Kisumu,Mombasa,Nakuru,A
Capitales du monde,Facile,Quelle est la capitale du Royaume-Uni?,Manchester,Birmingham,Londres,Liverpool,C
Capitales du monde,Facile,Quelle est la capitale de l'Ouganda?,Kampala,Jinja,Mbarara,Fort Portal,A
Capitales du monde,Facile,Quelle est la capitale de la Guyane?,Berbice,Georgetown,Essequibo,Demerara,B
Capitales du monde,Facile,Quelle est la capitale du Pakistan?,Hyderabad,Lahore,Karachi,Islamabad,D
Capitales du monde,Facile,Quelle est la capitale de Chypre?,Limassol,Larnaca,Paphos,Nicosie,D
Capitales du monde,Facile,Quelle est la capitale des Fidji?,Labasa,Nadi,Lautoka,Suva,D
Capitales du monde,Facile,Quelle est la capitale de la Suède?,Göteborg,Malmö,Stockholm,Uppsala,C
Capitales du monde,Facile,Quelle est la capitale d'Oman?,Mascate,Sohar,Nizwa,Salalah,A
Capitales du monde,Facile,Quelle est la capitale de la Botswana?,Francistown,Gaborone,Maun,Molepolole,B
Capitales du monde,Facile,Quelle est la capitale des États-Unis?,Los Angeles,Washington D.C.,Chicago,New York,B
Capitales du monde,Facile,Quelle est la capitale de la Slovaquie?,Kosice,Presov,Bratislava,Zilina,C
Capitales du monde,Facile,Quelle est la capitale de l'Inde?,Mumbai,Bangalore,New Delhi,Chennai,C
Capitales du monde,Facile,Quelle est la capitale de l'Égypte?,Le Caire,Assouan,Giza,Louxor,A
Capitales du monde,Facile,Quelle est la capitale de l'Angola?,Luanda,Benguela,Huambo,Lobito,A
Capitales du monde,Facile,Quelle est la capitale du Chili?,Concepción,Santiago,Valdivia,Valparaíso,B
Capitales du monde,Facile,Quelle est la capitale de la Slovénie?,Kranj,Maribor,Celje,Ljubljana,D
Capitales du monde,Facile,Quelle est la capitale du Pérou?,Trujillo,Lima,Cusco,Arequipa,B
Capitales du monde,Facile,Quelle est la capitale du Laos?,Vientiane,Savannakhet,Pakse,Luang Prabang,A
Capitales du monde,Facile,Quelle est la capitale de la Thaïlande?,Chiang Mai,Pattaya,Bangkok,Phuket,C
Capitales du monde,Facile,Quelle est la capitale de la Corée du Sud?,Séoul,Daegu,Busan,Incheon,A
Capitales du monde,Facile,Quelle est la capitale de la Namibie?,Windhoek,Walvis Bay,Ondangwa,Swakopmund,A
Capitales du monde,Facile,Quelle est la capitale du Vietnam?,Hanoï,Hai Phong,Ho Chi Minh-Ville,Da Nang,A
Capitales du monde,Facile,Quelle est la capitale de la Zambie?,Lusaka,Livingstone,Kitwe,Ndola,A
Capitales du monde,Facile,Quelle est la capitale du Maroc?,Rabat,Casablanca,Fès,Tanger,A
Capitales du monde,Facile,Quelle est la capitale de l'Espagne?,Barcelone,Séville,Madrid,Valence,C
Capitales du monde,Facile,Quelle est la capitale du Koweït?,Ahmadi,Salmi,Jahra,Koweit City,D
Capitales du monde,Facile,Quelle est la capitale de l'Uruguay?,Salto,Montevideo,Rivera,Punta del Este,B
Capitales du monde,Facile,Quelle est la capitale de la Suisse?,Genève,Berne,Zurich,Lausanne,B
Capitales du monde,Facile,Quelle est la capitale de l'île Maurice?,Beau Bassin,Port-Louis,Quatre Bornes,Curepipe,B
Capitales du monde,Facile,Quelle est la capitale du Sri Lanka?,Kandy,Colombo,Jaffna,Sri Jayawardenepura Kotte,D
Capitales du monde,Facile,Quelle est la capitale de la Norvège?,Stavanger,Trondheim,Kristiansand,Oslo,D
Capitales du monde,Facile,Quelle est la capitale de l'Iran?,Qazvin,Tabriz,Ispahan,Téhéran,D
Capitales du monde,Facile,Quelle est la capitale de l'Azerbaïdjan?,Shaki,Ganja,Mingachevir,Bakou,D
Capitales du monde,Facile,Quelle est la capitale de la Hongrie?,Debrecen,Szeged,Budapest,Miskolc,C
Capitales du monde,Facile,Quelle est la capitale de la Russie?,Saint-Pétersbourg,Novosibirsk,Moscou,Ekaterinbourg,C
Capitales du monde,Facile,Quelle est la capitale de la Colombie?,Cali,Bogotá,Barranquilla,Medellín,B
Capitales du monde,Facile,Quelle est la capitale du Brésil?,Rio de Janeiro,Brasília,Salvador,São Paulo,B
Capitales du monde,Facile,Quelle est la capitale de la Jordanie?,Aqaba,Zarqa,Irbid,Amman,D
Capitales du monde,Facile,Quelle est la capitale de la Tchéquie?,Brno,Ostrava,Prague,Plzen,C
Capitales du monde,Facile,Quelle est la capitale de l'Australie?,Brisbane,Sydney,Melbourne,Canberra,D
Capitales du monde,Facile,Quelle est la capitale de l'Islande?,Kópavogur,Akureyri,Hafnarfjörður,Reykjavik,D
Capitales du monde,Facile,Quelle est la capitale de l'Italie?,Milan,Rome,Naples,Venise,B
Capitales du monde,Facile,Quelle est la capitale du Paraguay?,Iguazu,Asunción,Encarnación,Ciudad del Este,B
Capitales du monde,Facile,Quelle est la capitale de la France?,Madrid,Paris,Berlin,Lisbonne,B
Capitales du monde,Facile,Quelle est la capitale de Madagascar?,Fianarantsoa,Antananarivo,Toliara,Antsirabe,B
Capitales du monde,Facile,Quelle est la capitale du Zimbabwe?,Harare,Bulawayo,Mutare,Gweru,A
Capitales du monde,Facile,Quelle est la capitale du Yémen?,Ibb,Aden,Taez,Sanaa,D
Capitales du monde,Facile,Quelle est la capitale de l'Argentine?,Rosario,Buenos Aires,Mendoza,Córdoba,B
Capitales du monde,Facile,Quelle est la capitale du Suriname?,Lacourbé,Paramaribo,Lelydorp,Lelydorp,B
Capitales du monde,Facile,Quelle est la capitale des Pays-Bas?,Rotterdam,Amsterdam,Utrecht,La Haye,B
Capitales du monde,Facile,Quelle est la capitale du Bangladesh?,Sylhet,Chittagong,Khulna,Dacca,D
Capitales du monde,Facile,Quelle est la capitale de la Belgique?,Anvers,Gand,Bruxelles,Liège,C
Capitales du monde,Facile,Quelle est la capitale de l'Irlande?,Cork,Galway,Dublin,Limerick,C
Capitales du monde,Facile,Quelle est la capitale de la Serbie?,Nis,Zemun,Belgrade,Kragujevac,C
Capitales du monde,Facile,Quelle est la capitale d'Israël?,Ashdod,Tel Aviv,Haïfa,Jérusalem,D
Capitales du monde,Facile,Quelle est la capitale de la Malaisie (Péninsulaire)?,Negeri Sembilan,Selangor,Penang,Kuala Lumpur,D
Capitales du monde,Facile,Quelle est la capitale des Émirats Arabes Unis?,Ajman,Dubaï,Sharjah,Abu Dhabi,D
Capitales du monde,Facile,Quelle est la capitale de l'Arabie Saoudite?,Dammam,Riyadh,Médine,Jeddah,B
Capitales du monde,Facile,Quelle est la capitale de la Birmanie?,Naypyidaw,Rangoun,Mandalay,Bagan,A
Capitales du monde,Facile,Quelle est la capitale du Sénégal?,Dakar,Saint-Louis,Thiès,Kaolack,A
Capitales du monde,Facile,Quelle est la capitale de la Croatie?,Split,Rijeka,Zagreb,Osijek,C
Capitales du monde,Facile,Quelle est la capitale de la Syrie?,Lattaquié,Alep,Homs,Damas,D
Capitales du monde,Facile,Quelle est la capitale de l'Éthiopie?,Addis-Abeba,Mekele,Adama,Dire Dawa,A
Capitales du monde,Facile,Quelle est la capitale de l'Équateur?,Cuenca,Quito,Ambato,Guayaquil,B
Capitales du monde,Facile,Quelle est la capitale de la Chine?,Shanghai,Shenzhen,Pékin,Guangzhou,C
Capitales du monde,Facile,Quelle est la capitale de l'Afghanistan?,Mazar-i-Charif,Kandahar,Hérat,Kaboul,D
Capitales du monde,Facile,Quelle est la capitale du Cambodge?,Phnom Penh,Siem Reap,Battambang,Sihanoukville,A
Capitales du monde,Facile,Quelle est la capitale de la Bolivie?,Santa Cruz,La Paz,Sucre,Cochabamba,B
Capitales du monde,Facile,Quelle est la capitale de la Finlande?,Tampere,Turku,Espoo,Helsinki,D
Capitales du monde,Facile,Quelle est la capitale de la Népal?,Pokhara,Katmandou,Birgunj,Bhaktapur,B
Capitales du monde,Facile,Quelle est la capitale de la Mozambique?,Maputo,Inhambane,Beira,Nampula,A
Capitales du monde,Facile,Quelle est la capitale de la Roumanie?,Iasi,Constanta,Bucarest,Timisoara,C
Capitales du monde,Facile,Quelle est la capitale de l'Irak?,Mossoul,Bassorah,Kirkuk,Bagdad,D
Capitales du monde,Facile,Quelle est la capitale de la Palestine?,Ramallah,Bethléem,Jérusalem-Est,Gaza,A
Capitales du monde,Facile,Quelle est la capitale de la Nouvelle-Zélande?,Christchurch,Wellington,Auckland,Hamilton,B
Capitales du monde,Facile,Quelle est la capitale du Canada?,Montréal,Ottawa,Vancouver,Toronto,B
Capitales du monde,Facile,Quelle est la capitale du Nigeria?,Abuja,Kano,Ibadan,Lagos,A
Capitales du monde,Facile,Quelle est la capitale de la Géorgie?,Zugdidi,Koutaïssi,Gori,Tbilissi,D
Capitales du monde,Facile,Quelle est la capitale du Liban?,Tyr,Tripoli,Sidon,Beyrouth,D
Capitales du monde,Facile,Quelle est la capitale de l'Albanie?,Shkodër,Durrës,Vlorë,Tirana,D
Capitales du monde,Facile,Quelle est la capitale du Japon?,Osaka,Kyoto,Tokyo,Yokohama,C
Capitales du monde,Facile,Quelle est la capitale de la Tunisie?,Tunis,Gafsa,Sfax,Sousse,A
Capitales du monde,Facile,Quelle est la capitale du Mexique?,Monterrey,Mexico City,Cancún,Guadalajara,B
Capitales du monde,Facile,Quelle est la capitale du Venezuela?,Barquisimeto,Caracas,Valencia,Maracaibo,B
Capitales du monde,Facile,Quelle est la capitale de la Turquie?,Istanbul,Smyrne,Ankara,Izmir,C
Capitales du monde,Facile,Quelle est la capitale de l'Allemagne?,Munich,Hambourg,Berlin,Cologne,C
Capitales du monde,Facile,Quelle est la capitale des Philippines?,Manille,Quezon City,Davao,Cebu,A
Capitales du monde,Facile,Quelle est la capitale du Portugal?,Porto,Covilha,Lisbonne,Covilhan,C
Capitales du monde,Facile,Quelle est la capitale de la Malaisie?,Penang,Johor Bahru,Kuala Lumpur,Ipoh,C
Capitales du monde,Facile,Quelle est la capitale de l'Indonésie?,Surabaya,Bandung,Jakarta,Medan,C
Capitales du monde,Facile,Quelle est la capitale de la Grèce?,Thessalonique,Patras,Athènes,Heraklion,C
Capitales du monde,Facile,Quelle est la capitale de la Papouasie-Nouvelle-Guinée?,Madang,Lae,Wewak,Port Moresby,D
Capitales du monde,Facile,Quelle est la capitale du Qatar?,Doha,Rayyan,Wakrah,Dukhan,A
Capitales du monde,Facile,Quelle est la capitale de la Malte?,Valletta,Sliema,Birkirkara,Mosta,A
Capitales du monde,Facile,Quelle est la capitale de la Pologne?,Cracovie,Wroclaw,Varsovie,Gdansk,C
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Érythrée?,Asmara,Assab,Massawa,Keren,A
Capitales du monde,Intermédiaire,Quelle est la capitale de la Biélorussie?,Brest,Gomel,Minsk,Vitebsk,C
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Île Norfolk?,Wards Bay,Kingston,Burnt Pine,Middleton,B
Capitales du monde,Intermédiaire,Quelle est la capitale d'Andorre?,Ordino,Canillo,Andorre-la-Vieille,Escaldes-Engordany,C
Capitales du monde,Intermédiaire,Quelle est la capitale de Saint-Marin?,Città di San Marino,Borgognoni,Dogana,Serravalle,A
Capitales du monde,Intermédiaire,Quelle est la capitale du Cameroun?,Yaounde,Douala,Buea,Bafoussam,A
Capitales du monde,Intermédiaire,Quelle est la capitale de la Gambie?,Bakau,Banjul,Serekunda,Brikama,B
Capitales du monde,Intermédiaire,Quelle est la capitale de la Martinique?,Le Lamentin,Ducos,Rivière-Pilote,Fort-de-France,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Guinée?,Conakry,Kindia,Mamou,Boké,A
Capitales du monde,Intermédiaire,Quelle est la capitale de la Côte d'Ivoire?,Yamoussoukro,Bouaké,Abidjan,Daloa,A
Capitales du monde,Intermédiaire,Quelle est la capitale de la Somalie?,Mogadiscio,Hargeisa,Kismayo,Beledweyne,A
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Île Heard et îles McDonald?,Port-de-France,Kingston,Atlas Cove,Île Heard (peu habitée),D
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Île de Cocos?,Georgetown,West Island,Home Island,Direction Island,B
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Île Bouvet?,Ouvéa,Mare,Lifou,Île Bouvet (peu habitée),D
Capitales du monde,Intermédiaire,Quelle est la capitale de Saint-Martin/Saint-Maarten?,Philipsburg,Marigot,Simpson Bay,Sandy Ground,B
Capitales du monde,Intermédiaire,Quelle est la capitale de la Bosnie-Herzégovine?,Mostar,Zenica,Sarajevo,Banjaluka,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Burkina Faso?,Koudougou,Ouagadougou,Bobo-Dioulasso,Kumasi,B
Capitales du monde,Intermédiaire,Quelle est la capitale du Mongolöe?,Darhan,Erdenet,Darkhan,Ulan-Bator,D
Capitales du monde,Intermédiaire,Quelle est la capitale de Sainte-Lucie?,Castries,Vieuxfort,Gros-Islet,Canaries,A
Capitales du monde,Intermédiaire,Quelle est la capitale du Turkménistan?,Balkanabat,Tejen,Achgabat,Turkmenbachi,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Congo?,Brazzaville,Pointe-Noire,Dolisie,Kinshasa,A
Capitales du monde,Intermédiaire,Quelle est la capitale de la République Centrafricaine?,Bangui,Bouar,Bambari,Kaga-Bandoro,A
Capitales du monde,Intermédiaire,Quelle est la capitale du Monténégro?,Kotor,Nikšić,Podgorica,Cetinje,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Sahara Occidental?,Tan-Tan,Laâyoune,Dakhla,Smara,B
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Estonie?,Tartu,Narva,Tallinn,Pärnu,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Territoire des Terres australes et antarctiques françaises?,Port Jeannette,Port-aux-Français,Archipel Crozet,Territoire (peu habitué),B
Capitales du monde,Intermédiaire,Quelle est la capitale de Hong Kong?,Kowloon,New Territories,Victoria,Hong Kong City,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Réunion?,Saint-Paul,Saint-Pierre,Saint-Benoit,Saint-Denis,D
Capitales du monde,Intermédiaire,Quelle est la capitale du Brunei?,Kuala Belait,Tutong,Muara,Bandar Seri Begawan,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Macédoine du Nord?,Bitola,Kumanovo,Skopje,Prilep,C
Capitales du monde,Intermédiaire,Quelle est la capitale de la Guadeloupe?,Pointe-à-Pitre,Baie-Mahault,Abymes,Basse-Terre,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Moldavie?,Tiraspol,Balti,Chişinău,Bender,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Luxembourg?,Esch-sur-Alzette,Differdange,Luxembourg City,Dudelange,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Ghana?,Kumasi,Sekondi-Takoradi,Accra,Tamale,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Tadjikistan?,Khujand,Khorog,Douchanbe,Boukhara,C
Capitales du monde,Intermédiaire,Quelle est la capitale du Sri Lanka (Capitale administrative)?,Colombo,Kandy,Jaffna,Sri Jayawardenepura Kotte,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Mauritanie?,Tidjikja,Nouakchott,Nouadhibou,Atar,B
Capitales du monde,Intermédiaire,Quelle est la capitale de la Lettonie?,Daugavpils,Liepaja,Riga,Jelgava,C
Capitales du monde,Intermédiaire,Quelle est la capitale de Saint-Vincent-et-les-Grenadines?,Georgetown,Calliaqua,Arnos Vale,Kingstown,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Lituanie?,Kaunas,Klaipėda,Vilnius,Šiauliai,C
Capitales du monde,Intermédiaire,Quelle est la capitale de Saint-Christophe-et-Niévès?,Charlestown,Basseterre,Molineux,Dieppe Bay,B
Capitales du monde,Intermédiaire,Quelle est la capitale de la Grenade?,Gouyave,Victoria,Sauteurs,St George's,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Barbade?,Speightstown,Oistins,St. James,Bridgetown,D
Capitales du monde,Intermédiaire,Quelle est la capitale de la Dominique?,Rosalie,Marigot,Roseau,Calibishie,C
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Antigua-et-Barbuda?,Codrington,Falmouth,Saint John's,Parham,C
Capitales du monde,Intermédiaire,Quelle est la capitale de la Corée du Nord?,Nampo,Wonsan,Hamhung,Pyongyang,D
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Arménie?,Dilijan,Gumri,Gyumri,Erevan,D
Capitales du monde,Intermédiaire,Quelle est la capitale de l'Eswatini (Swaziland)?,Nhlangano,Mbabane,Manzini,Siteki,B
Capitales du monde,Intermédiaire,Quelle est la capitale du Liechtenstein?,Eschen,Schaan,Vaduz,Triesenberg,C
